Assembly	consensus
# misassemblies	20
  # contig misassemblies	20
    # c. relocations	20
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	5
Misassembled contigs length	4466423
# local misassemblies	8
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	1439
# indels	169
    # indels (<= 5 bp)	140
    # indels (> 5 bp)	29
Indels length	2573
